LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000410578-0001-0,DOUBLE O TWO INC,INTERNATIONAL HOUSE OF PANCAKES #2,8555 VESPER AVENUE,PANORAMA CITY,8555 VESPER 91402-2914,24801 PICO CANYON ROAD #200,STEVENSON RANCH,91381-1762,722110,Full-service restaurants,6,08/02/1982,,"(34.2253, -118.4502)"
0002815295-0001-6,MANNA LA LLC,PANERA BREAD,8647 S SEPULVEDA BLVD,WESTCHESTER,8647 SEPULVEDA 90045-4001,2339 11TH STREET,ENCINITAS,92024-6604,722110,Full-service restaurants,11,03/15/2015,,"(33.9592, -118.3963)"
0002537656-0014-1,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11024 | CALIFORNIA FOOD MANAGEMENT,5609 W SUNSET BLVD,LOS ANGELES,5609 SUNSET 90028-8534,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.098, -118.3117)"
0002798053-0001-3,CHARCOAL VENICE PARTNERS LLC,CHARCOAL VENICE,425 WASHINGTON BLVD,VENICE,425 WASHINGTON 90292-5213,425 WASHINGTON BLVD,VENICE,90292-5213,722110,Full-service restaurants,11,01/18/2015,,"(33.9815, -118.4627)"
0002537656-0006-1,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 2554 | CALIFORNIA FOOD MANAGEMENT,181 S VERMONT AVENUE,LOS ANGELES,181 VERMONT 90004-5904,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.0705, -118.2916)"
0002848240-0001-6,TWO MICHAELS LLC,THE RED DOOR,10057 RIVERSIDE DRIVE,TOLUCA LAKE,10057 RIVERSIDE 91602-2515,,,,722110,Full-service restaurants,4,01/01/2015,,"(34.1522, -118.3501)"
0000729801-0001-5,FARHAD PEZESHKI,HAMBURGER HABIT,11223 NATIONAL BLVD,LOS ANGELES,11223 NATIONAL 90064-3902,714 W OLYMPIC BLVD SUITE #1011,LOS ANGELES,90015-1665,722110,Full-service restaurants,5,09/01/1989,,"(34.0269, -118.4297)"
0000645358-0001-2,PRODROMOS MIKE BEGAKIS,MONTERY CONCESSIONS,4730 CRYSTAL SPRINGS DRIVE,LOS ANGELES,4730 CRYSTAL SPRINGS 90027-1401,16821 BURBANK BLVD,ENCINO,91436-1000,722110,Full-service restaurants,4,05/28/2002,,"(34.1465, -118.2844)"
0002873744-0001-8,RAMON BARAJAS,TAMALES Y TAQUERIA EL CERRITO,7831 S ALAMEDA STREET,LOS ANGELES,7831 ALAMEDA 90001-3115,,,,722110,Full-service restaurants,0,12/14/2015,,"(33.9689, -118.2335)"
0000267458-0010-5,"SENIOR CLASSIC LEASING, LLC",CARLS JR RESTAURANT #7376,11509 LAUREL CANYON BLVD,SAN FERNANDO,11509 LAUREL CANYON 91340-4123,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,7,11/27/2000,,"(34.2789, -118.4535)"
0002863458-0001-9,GFC ARLINGTON LLC,,4155 W PICO BLVD,LOS ANGELES,4155 PICO 90019-4311,1632 VIRGINIA ROAD,LOS ANGELES,90019-5934,722110,Full-service restaurants,10,04/06/2015,,"(34.0477, -118.3261)"
0000486068-0027-7,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #913,5550 WILSHIRE BLVD SUITE #101B,LOS ANGELES,5550 WILSHIRE 90036-3809,1401 WYNKOOP STREET #500,DENVER,80202-1729,722110,Full-service restaurants,4,07/02/2010,,"(34.0622, -118.3494)"
